Part_No,Description,Category,Vendor_No,Available,On_Hand,Current_Cost,Volume_(inch^3),Length_(UDF),Width_(UDF),Height_(UDF),Weight_(UDF),Product_Code,Pallet_Quantity_(Incoming_Max)_(UDF),Pallet_Length_(inches)_(UDF),Pallet_Width_(inches)_(UDF)
FCAAntAnt4XBK,Antifatigue Mat 2 - 16' x 24' Black,Anti-Fatigue Mat,MANU123,8,11,21.4266,384,24,16,1,2.6,MATS,100,62,50
FCAAntAnt4XGY,Antifatigue Mat 2 - 16' x 24' Grey,Anti-Fatigue Mat,MANU123,7,8,21.4266,384,24,16,1,2.6,MATS,100,48,40
FCAAnAnt32BK,Antifatigue Mat 20'x32' Black,Anti-Fatigue Mat,MANU123,32,32,29.9356,672,32,21,1,4,MATS,100,62,50
FCAAnAnt32GY,Antifatigue Mat 20'x32' Grey,Anti-Fatigue Mat,MANU123,3,3,29.9356,672,32,21,1,4,MATS,100,62,50
FCAAntAnt2XBK,Antifatigue Mat 2 - 20' x 32'  Black,Anti-Fatigue Mat,MANU123,6,7,28.7832,672,32,21,1,4,MATS,100,62,50
FCAAntAnt2XGY,Antifatigue Mat 2 - 20' x 32'  Grey,Anti-Fatigue Mat,MANU123,2,2,26.8032,672,32,21,1,4,MATS,100,62,50
FCAAnAntXVBK," Antifatigue Mat 6 - 23"" x 67"" Midnight Black",Anti-Fatigue Mat,MANU123,2,2,73.5258,3456,24,12,12,8,MATS,100,62,50
FCAAntAnt9XBM,Antifatigue Mat 3 - 20' x 39'  Black,Anti-Fatigue Mat,MANU123,4,4,33.4196,1050,40,21,1.25,4.95,MATS,100,62,50
FCASyAnt35BK,System 5000 26'x36' Black,Anti-Fatigue Mat,MANU123,0,0,45.056,2463.75,36.5,27,2.43,7,MATS,100,62,50
FCASyAnt5XBK,System 5000 26'x36' Black,Anti-Fatigue Mat,MANU123,0,0,47.1255,2394.765,36.5,27,2.43,5,MATS,100,62,50
FCAAntAnt2535,"Antifatigue Mat 5 - 26"" x 36"" Black",Anti-Fatigue Mat,MANU123,8,8,47.12568,2394.765,36.5,27,2.43,7,MATS,100,62,50
FCDTeDes924G," Tempered Glass Mat Tempered Glass Desk Pad 19""x24""",Desk Pad,MANU123,9,14,22.9274,1021.02,26,21,1.87,8,DESK,200,62,50
FCDTeDes036G," Tempered Glass Mat Tempered Glass Desk Pad 20""x36""",Desk Pad,MANU123,5,11,33.5402,1563.32,38,22,1.87,10,DESK,100,62,50
FCVFaTem418A,Fabric Board Blue 18'x24',Tempered Glass Whiteboard,MANU123,-1,0,12.864,468,26,18,1,2.5,PRES,100,62,50
FCVFaTem624A,Fabric Board Blue 24'x36',Tempered Glass Whiteboard,MANU123,13,13,25.862,948,39.5,24,1,5,PRES,100,62,50
FCVFaTem836A,Fabric Board Blue 36'x48',Tempered Glass Whiteboard,MANU123,6,6,44.6354,1908,53,36,1,10.3,PRES,50,62,50
FCVTeTem14BG,Tempered Glass 14X14 GLASS DOT GRID BOARD BLACK,Tempered Glass Whiteboard,MANU123,1,1,19.4836,629,18.7,18.7,1.8,5,PRES,100,62,50
FCVTeTem14TP,Tempered Glass 14X14 GLASS PLANNER BOARD TEAL,Tempered Glass Whiteboard,MANU123,2,2,19.4836,629,18.7,18.7,1.8,5,PRES,100,62,50
FCVTeTem14VP,Tempered Glass 14X14 GLASS PLANNER BOARD VIOLET,Tempered Glass Whiteboard,MANU123,1,1,29.653,629,18.7,18.7,1.8,5,PRES,100,62,50
FCVTeTem14WG,Tempered Glass 14X14 GLASS DOT GRID BOARD WHITE,Tempered Glass Whiteboard,MANU123,0,0,18.7176,629,18.7,18.7,1.8,5,PRES,100,62,50
